	剧本号	约会类型(1主线2日常4特殊）	条件	分支节点权重	触发几率	名称	文本内容	文字显示方式(1:逐个出现;2:直接出现)	特殊标注文字配置	文字框	选项类型	特殊选项	插入图片	插入图片1	插入图片2	插入图片3	快进停止	跳转（选项）	注释	人物模型1	模型出现方式1	模型消失方式1	人物动作1	快进时是否忽略1	人物面部1	表情包1	表情动作1	站位1	坐标偏移1	大小1	人物模型2	模型出现方式2	模型消失方式2	人物动作2	快进时是否忽略2	人物面部2	表情包2	表情动作2	站位2	坐标偏移2	大小2	人物模型3	模型出现方式3	模型消失方式3	人物动作3	快进时是否忽略3	人物面部3	表情包3	表情动作3	站位3	坐标偏移3	大小3	抖动效果参数	抖动对象(0:背景，1：模型1,2：模型2,3：模型3)	电话表现路径	电话表现动作	特效	背景	背景出现	背景效果(1：灰色，2：红色)	背景大小	运镜时间	背景坐标(中心点偏移)	bgm	背景音大小(1-100)	语音	角色嘴部动画	场景音效	普通音效	cg	CG锁定时间	事件类型	评分	显示评分	是否隐藏ui	一段时间后自动下一句（单位毫秒）	是否回忆	是否旁白	调用短信短信	奖励内容	重复完成奖励内容	可完成次数	视频	视频	结局	节点消耗	节点奖励	小游戏	规则	随机文本1	随机文本2
70602214	2101003	2	{}		100		但是十香已经跑得太远了，声音传不到那边。	1	{}			{}	{}					70502220		1								2	{}	1.4										{}											{}										1.2		{}										-15							{}	{}					{}	{}		{}		
70603101	2101003	2	{}		100	1	「我可不会倒在这种小事上！」	1	{}			{}	{}					70603102	2	10107			id_pose_1		id_look_1			2	{}	1.4										{}											{}							scene/bg/bg_gongyuan.png			1.2	-1	{}	sound/bgm/date_002.mp3																{}	{}					{}	{}		{}		
70603102	2101003	2	{}		100	1	「就算我是普通人，十香也不要小瞧我啊！」	1	{}			{}	{}					70603103		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70603103	2101003	2	{}		100		我拉起了十香的手，开始头也不回地往外冲去。	1	{}			{}	{}					70603104		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70603104	2101003	2	{}		100	夜刀神十香	「诶诶诶！别跑那么快！」	1	{}			{}	{}					70603105		1			id_pose_6		id_look_2			2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70603105	2101003	2	{}		100		十香刚开始被我拉着有些踉跄，不过很快恢复过来。	1	{}			{}	{}					70603106		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70603106	2101003	2	{}		100	1	「抓紧了十香，马上就到了！」	1	{}			{}	{}					70603107		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70603107	2101003	2	{}		100		因为公园距离家也不很远，再加上现在雨不算很大。	1	{}			{}	{}					70603108		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70603108	2101003	2	{}		100	夜刀神十香	「其实……可以不用这么赶的呀 %s 。」	1	{}			{}	{}					70603109		1								2	{}	1.4										{}											{}										1.2		{}			sound/role/shixiang/TOUKA_S_14.mp3														{}	{}					{}	{}		{}		
70603109	2101003	2	{}		100		十香在后面很小声地说道。	1	{}			{}	{}					70603110		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70603110	2101003	2	{}		100	1	「穿过这个街口往左赶……欸？」	1	{}			{}	{}					70603111		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70603111	2101003	2	{}		100		正当我按着记忆的路线拉着十香狂奔的时候。	1	{}			{}	{}					70603112		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70603112	2101003	2	{}		100		天上的雨开始渐渐小了起来，阳光透过云层洒在头顶。	1	{}			{}	{}					70603113		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70603113	2101003	2	{}		100	夜刀神十香	「 %s ，你弄疼我了。」	1	{}			{}	{}					70603114		1			id_pose_5		id_look_5			2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70603114	2101003	2	{}		100		她在背后说道，我连忙松开手，回头看见十香手腕上	1	{}			{}	{}					70603115		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70603115	2101003	2	{}		100		触目惊心的红痕。	1	{}			{}	{}					70603116		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70603116	2101003	2	{}		100	1	「啊……对不起，我不是故意的。」	1	{}			{}	{}					70603117		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70603117	2101003	2	{}		100		我连忙道歉，之前只忙着想早点回家。	1	{}			{}	{}					70603118		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70603118	2101003	2	{}		100	夜刀神十香	「不了， %s 也是好心，外套还你，我先走啦。」	1	{}			{}	{}					70603119		1			id_pose_5		id_look_1			2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70603119	2101003	2	{}		100	夜刀神十香	「不管怎么说，今天都谢谢你啦。」	1	{}			{}	{}					70603120		1								2	{}	1.4										{}											{}										1.2		{}			sound/role/shixiang/TOUKA_S_20.mp3														{}	{}					{}	{}		{}		
70603120	2101003	2	{}		100		十香把外套还给了我，消失在雨迹未干的街道上。	1	{}			{}	{}					70506411											{}											{}											{}										1.2		{}										5							{}	{}					{}	{}		{}		
70604101	2101003	2	{}		100	1	「唔……十香真是体贴呢。」	1	{}			{}	{}					70604102	2	10107			id_pose_1		id_look_1			2	{}	1.4										{}											{}							scene/bg/bg_gongyuan.png			1.2	-1	{}	sound/bgm/date_002.mp3																{}	{}					{}	{}		{}		
70604102	2101003	2	{}		100		尽管我还想装男子气概，但是逐渐降低的体温不容许。	1	{}			{}	{}					70604103		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70604103	2101003	2	{}		100	夜刀神十香	「尽管是女孩子，也不能总被 %s 保护着呀」	1	{}			{}	{}					70604104		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70604104	2101003	2	{}		100		十香挤出了一个微笑，靠的太近我能闻到十香的味道。	1	{}			{}	{}					70604105		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70604105	2101003	2	{}		100	1	「雨还真是大呢。」	1	{}			{}	{}					70604106		1			id_pose_9		id_look_1			2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70604106	2101003	2	{}		100		尽管有外套盖住头发，但是露在外面的身体还是不断	1	{}			{}	{}					70604107		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70604107	2101003	2	{}		100		被雨打湿，身上干燥的地方越来越少。	1	{}			{}	{}					70604108		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70604108	2101003	2	{}		100	夜刀神十香	「雨的趋势是不是有些减弱了……」	1	{}			{}	{}					70604109		1			id_pose_9		id_look_7			2	{}	1.4										{}											{}										1.2		{}			sound/role/shixiang/TOUKA_S_20.mp3														{}	{}					{}	{}		{}		
70604109	2101003	2	{}		100		过了许久，十香小声地跟我说道。	1	{}			{}	{}					70604110		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70604110	2101003	2	{}		100	1	「听雨声小了很多，是真的。」	1	{}			{}	{}					70604111		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70604111	2101003	2	{}		100		我掀起了外套一角，然后点了点头。	1	{}			{}	{}					70604112		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70604112	2101003	2	{}		100	夜刀神十香	「那，我们回去吧！」	1	{}			{}	{}					70604113		1			id_pose_9		id_look_4	103_eff	id_surprise	2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70604113	2101003	2	{}		100		十香拉开了外套的遮蔽，看着雨后焕然一新的世界。	1	{}			{}	{}					70604114		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70604114	2101003	2	{}		100		只要和十香在一起，总会快乐呢。	1	{}			{}	{}																{}											{}											{}										1.2		{}										5							{"fix":{"items":[{"id":500007,"num":30},{"id":500008,"num":10},{"id":500018,"num":5}]}}	{"fix":{"items":[{"id":500007,"num":20},{"id":500008,"num":10},{"id":500018,"num":3}]}}				3	{}	{}		{}		
70605101	2101003	2	{}		100	夜刀神十香	「咳咳……好大的雨。」	1	{}			{}	{}					70605102	2	10107			id_pose_1		id_look_1			2	{}	1										{}											{}							scene/bg/bg_gongyuan.png			1	-1	{}	sound/bgm/date_002.mp3																{}	{}					{}	{}		{}		
70605102	2101003	2	{}		100		我们成功冲过大雨的封锁，来到了雨棚之下。	1	{}			{}	{}					70605103		1								2	{}	1										{}											{}										1		{}																	{}	{}					{}	{}		{}		
70605103	2101003	2	{}		100	1	「没有被淋到吧，十香。」	1	{}			{}	{}					70605104		1								2	{}	1										{}											{}										1		{}																	{}	{}					{}	{}		{}		
70605104	2101003	2	{}		100		我掀开了她头顶上我的外套。	1	{}			{}	{}					70605105		1								2	{}	1										{}											{}										1		{}																	{}	{}					{}	{}		{}		
70605105	2101003	2	{}		100	夜刀神十香	「没有呢，倒是 %s 你……」	1	{}			{}	{}					70605106		1			id_pose_8		id_look_2			2	{}	1										{}											{}										1		{}																	{}	{}					{}	{}		{}		
70605106	2101003	2	{}		100		她看着我几乎湿透的衣服，眼睛有雾气氤氲。	1	{}			{}	{}					70605107		1								2	{}	1										{}											{}										1		{}																	{}	{}					{}	{}		{}		
70605107	2101003	2	{}		100	1	「只要十香没事就好啦，这种小事……」	1	{}			{}	{}					70605108		1								2	{}	1										{}											{}										1		{}																	{}	{}					{}	{}		{}		
70605108	2101003	2	{}		100		我把外套穿上，强行挤出笑容。	1	{}			{}	{}					70605109		1								2	{}	1										{}											{}										1		{}																	{}	{}					{}	{}		{}		
70605109	2101003	2	{}		100	夜刀神十香	「 %s ……」	1	{}			{}	{}					70605110		1			id_pose_1		id_look_4	103_eff	id_sun	2	{}	1										{}											{}										1		{}			sound/role/shixiang/TOUKA_S_19.mp3														{}	{}					{}	{}		{}		
70605110	2101003	2	{}		100		她一把抱住了我，眼角有泪光闪过。	1	{}			{}	{}					70605111		1								2	{}	1										{}											{}										1		{}																	{}	{}					{}	{}		{}		
70605111	2101003	2	{}		100	1	「唉……这样可就白费功夫了啊。」	1	{}			{}	{}					70605112		1								2	{}	1										{}											{}										1		{}																	{}	{}					{}	{}		{}		
70605112	2101003	2	{}		100		我的脑袋冒出黑线，但没有推开她	1	{}			{}	{}					70605113		1								2	{}	1										{}											{}										1		{}																	{}	{}					{}	{}		{}		
70605113	2101003	2	{}		100		恍若梦中，但十香的触感如此真实。	1	{}			{}	{}						2										{}											{}											{}										1		{}										10							{"fix":{"items":[{"id":500007,"num":30},{"id":500008,"num":10},{"id":500018,"num":5}]}}	{"fix":{"items":[{"id":500007,"num":20},{"id":500008,"num":10},{"id":500018,"num":3}]}}				2	{}	{}		{}		
70606101	2101003	2	{}		100	1	「我并没有看不起十香的意思。」	1	{}			{}	{}					70606102	2	10107			id_pose_1		id_look_1			2	{}	1.4										{}											{}							scene/bg/bg_gongyuan.png			1.2	-1	{}	sound/bgm/date_002.mp3																{}	{}					{}	{}		{}		
70606102	2101003	2	{}		100		我解释道，只是作为一个普通人的担心。	1	{}			{}	{}					70606103		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70606103	2101003	2	{}		100	夜刀神十香	「好啦，知道 %s 只是担心我。」	1	{}			{}	{}					70606104		1			id_pose_9		id_look_3			2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70606104	2101003	2	{}		100		十香腾空而起，而后又缓缓落在我的身边。	1	{}			{}	{}					70606105		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70606105	2101003	2	{}		100	1	「就算是[精灵]，也会因为不小心受伤的。」	1	{}			{}	{}					70606106		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70606106	2101003	2	{}		100		就算十香展现了她的能力，我也没能完全安心。	1	{}			{}	{}					70606107		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70606107	2101003	2	{}		100	夜刀神十香	「好啦好啦， %s 真是唠叨呢。」	1	{}			{}	{}					70606108		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70606108	2101003	2	{}		100		十香挥手止住了我接下来说的话，紫色的瞳孔泛着幽光。	1	{}			{}	{}					70606109		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70606109	2101003	2	{}		100	1	「唠叨也是为了你好呀，十香」	1	{}			{}	{}					70606110		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70606110	2101003	2	{}		100		我看着十香重新坐上秋千，又准备开始蓄力。	1	{}			{}	{}					70606111		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70606111	2101003	2	{}		100	夜刀神十香	「我知道呀，我都听着呢。」	1	{}			{}	{}					70606112		1			id_pose_4		id_look_4			2	{}	1.4										{}											{}										1.2		{}			sound/role/shixiang/TOUKA_S_09.mp3														{}	{}					{}	{}		{}		
70606112	2101003	2	{}		100		秋千一飞冲天的场面并没有出现，十香缓缓摇动着秋千，	1	{}			{}	{}					70606113		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70606113	2101003	2	{}		100		黄昏的光穿透云层洒在十香身上，像极了梦中的模样。	1	{}			{}	{}					70606114		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70606114	2101003	2	{}		100		十香喜欢你啊，笨蛋。	1	{}			{}	{}						2										{}											{}											{}										1.2		{}										15							{"fix":{"items":[{"id":500007,"num":30},{"id":500008,"num":10},{"id":500018,"num":5}]}}	{"fix":{"items":[{"id":500007,"num":20},{"id":500008,"num":10},{"id":500018,"num":3}]}}				1	{}	{}		{}		
70607101	2101003	2	{}		100	1	「那么，就是现在！」	1	{}			{}	{}					70607102		10107			id_pose_1		id_look_1			2	{}	1.4										{}											{}							scene/bg/bg_gongyuan.png			1.2	-1	{}	sound/bgm/date_003.mp3																{}	{}					{}	{}		{}		
70607102	2101003	2	{}		100		我看准了时机，在秋千落下了的时候按住了挡板。	1	{}			{}	{}					70607103		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70607103	2101003	2	{}		100		惯性几乎让我飞了出去，但是后退几步后稳住了脚步。	1	{}			{}	{}					70607104		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70607104	2101003	2	{}		100	夜刀神十香	「唔姆…… %s ？」	1	{}			{}	{}					70607105		1			id_pose_9		id_look_2			2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70607105	2101003	2	{}		100		十香直接撞进了我的怀里，她转过头来问我。	1	{}			{}	{}					70607106		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70607106	2101003	2	{}		100	1	「再放任你这么下去，可能会吓坏小孩子吧。」	1	{}			{}	{}					70607107		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70607107	2101003	2	{}		100		我和十香四目相对，这次我没有移开眼睛。	1	{}			{}	{}					70607108		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70607108	2101003	2	{}		100	夜刀神十香	「 %s 这么坚持的话……好吧。」	1	{}			{}	{}					70607109		1			id_pose_10		id_look_3			2	{}	1.4										{}											{}										1.2		{}			sound/role/shixiang/TOUKA_S_07.mp3														{}	{}					{}	{}		{}		
70607109	2101003	2	{}		100		十香还是没有从我的身上挪开。	1	{}			{}	{}					70607110		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70607110	2101003	2	{}		100	1	「毕竟，我很关心你啊……」	1	{}			{}	{}					70607111		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
