	剧本号	约会类型(1主线2日常4特殊）	条件	分支节点权重	触发几率	名称	文本内容	文字显示方式(1:逐个出现;2:直接出现)	特殊标注文字配置	文字框	选项类型	特殊选项	插入图片	插入图片1	插入图片2	插入图片3	快进停止	跳转（选项）	注释（1选项2收束3选项+收束4剧本开始5出现选项6单一选项7未使用）	人物模型1	模型出现方式1	模型消失方式1	人物动作1	快进时是否忽略1	人物面部1	表情包1	表情动作1	站位1	坐标偏移1	大小1	人物模型2	模型出现方式2	模型消失方式2	人物动作2	快进时是否忽略2	人物面部2	表情包2	表情动作2	站位2	坐标偏移2	大小2	人物模型3	模型出现方式3	模型消失方式3	人物动作3	快进时是否忽略3	人物面部3	表情包3	表情动作3	站位3	坐标偏移3	大小3	抖动效果参数	抖动对象(0:背景，1：模型1,2：模型2,3：模型3)	电话表现路径	电话表现动作	特效路径	特效动画	循环特效路径	循环特效动画	1-5章增加音效与BGM	背景出现	背景效果(1：灰色，2：红色)	背景大小	运镜时间	背景坐标(中心点偏移)	bgm	背景音大小(1-100)	语音	角色嘴部动画	场景音效	普通音效	cg	CG锁定时间	事件类型	评分	显示评分	是否隐藏ui	自动下一句	是否回忆	是否旁白	奖励内容	重复完成奖励内容	可完成次数	视频	视频	结局	节点消耗	节点奖励	小游戏	规则	随机文本1	随机文本2
3009032	3009	7	{}		100	夜刀神十香	如果你没有出现……或许我会变成狂三那样，也说不定呢。	1	{}			{}	{}				1	3009034-3009033		1			id_normal_9		0				{}											{}											{}															{}			modle/bust/sounds/DP_03_Tohka35.mp3	1												{}	{}					{}	{}		{}		
3009033	3009	7	{}		100		十香不是那样邪恶的精灵！	1	{}			{}	{}					3009035		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
3009034	3009	7	{}		100		不会的，我会拯救十香的！	1	{}			{}	{}					3009037		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
3009035	3009	7	{}		100	夜刀神十香	在遇见你之前，我一直很焦虑、很厌倦人类。那种状态持续下去，真的不知道会发生什么事情。	1	{}			{}	{}					3009036		1			id_favor3_3		0				{}											{}											{}															{}			modle/bust/sounds/DP_03_Tohka36.mp3	1												{}	{}					{}	{}		{}		
3009036	3009	7	{}		100		初遇时的十香是这样的状态吗？那个疲惫的眼神……啊，想起来了……	1	{}			{}	{}					3009037		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
3009037	3009	7	{}		100	夜刀神十香	所以……拜托了，请你也拯救狂三吧！如果她真的是无可救药的邪恶精灵，我也会守护你的！	1	{}			{}	{}					3009038		1			id_favor1_5		0				{}											{}											{}															{}			modle/bust/sounds/DP_03_Tohka37.mp3	1												{}	{}					{}	{}		{}		
3009038	3009	7	{}		100	1	……我明白了。	1	{}			{}	{}					3009039		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
3009039	3009	7	{}		100		 	1	{}			{}	{}					3009040				3							{}											{}											{}															{}												1	1			{}	{}					{}	{}		{}		
3009040	3009	7	{}		100		 	1	{}			{}	{}					3009041											{}											{}											{}										scene/bg/bg_xuexiaozoulang.png	1		1.3	-1	{}												1	1			{}	{}					{}	{}		{}		
3009041	3009	7	{}		100	时崎狂三	哎呀，早上好啊。昨天玩得很开心呢~请你以后也一、定、要约我出去玩哦。	1	{}			{}	{}					3009042		10404	3		id_pose_11		id_look_5			2	{}	1.2										{}											{}															{}	sound/bgm/date_018.mp3	70	modle/bust/sounds/DP_03_Kurumi54.mp3	1												{}	{}					{}	{}		{}		
3009042	3009	7	{}		100	1	狂三……我一定会拯救你的！	1	{}			{}	{}					3009043		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
3009043	3009	7	{}		100		狂三的表情瞬间变得冰冷。	1	{}			{}	{}					3009044		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
3009044	3009	7	{}		100	时崎狂三	啊啦，你说了很奇怪的话哦？还是不要把你的想法强加给我比较好呢。	1	{}			{}	{}					3009045		1			id_pose_5		id_look_4				{}											{}											{}															{}			modle/bust/sounds/DP_03_Kurumi55.mp3	1												{}	{}					{}	{}		{}		
3009045	3009	7	{}		100	1	我已经下定决心了，无论如何都一定会拯救你。	1	{}			{}	{}					3009046		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
3009046	3009	7	{}		100	时崎狂三	……有趣，如果你说的是真的，那么放学到楼顶来吧，让我确认一下。	1	{}			{}	{}					3009047		1			id_pose_5		id_look_3				{}											{}											{}															{}			modle/bust/sounds/DP_03_Kurumi56.mp3	1												{}	{}					{}	{}		{}		
3009047	3009	7	{}		100		 	1	{}			{}	{}					3009048				3							{}											{}											{}															{}												1	1			{}	{}					{}	{}		{}		
3009048	3009	7	{}		100		 	1	{}			{}	{}					3009049											{}											{}											{}										scene/bg/bg_wuding.png	1		1.3	-1	{}												1	1			{}	{}					{}	{}		{}		
3009049	3009	7	{}		100		来到空荡荡的屋顶，明明知道会有危险，但我现在却意外的非常冷静。	1	{}			{}	{}					3009050											{}											{}											{}															{}	sound/bgm/date_014.mp3	70				sound/dating_sound/dating_008.mp3										{}	{}					{}	{}		{}		
3009050	3009	7	{}		100	时崎狂三	欢迎光临，我等你很久了哦。	1	{}			{}	{}					3009051					id_pose_6		id_look_4				{}											{}											{}															{}			modle/bust/sounds/DP_03_Kurumi57.mp3	1												{}	{}					{}	{}		{}		
3009051	3009	7	{}		100		 	1	{}			{}	{}					3009052											{}											{}											{}										scene/bg/bg_wuding.png	1		1.3	-1	{}												1	1			{}	{}					{}	{}		{}		
3009052	3009	7	{}		100		天空突然被血色笼罩，猩红的结界将整个学校吞噬了进去。	1	{}			{}	{}					3009053											{}											{}											{}										scene/bg/bg_jiejietiantai.png	1		1.3	-1	{}	sound/bgm/date_012.mp3	70														{}	{}					{}	{}		{}		
3009053	3009	7	{}		100	1	狂三！你做了什么？！	1	{}			{}	{}					3009054											{}											{}											{}		0.1-7-9-5-0.024	4												{}																{}	{}					{}	{}		{}		
3009054	3009	7	{}		100	时崎狂三	哈哈哈~很棒吧？这是会吞噬时间的结界——食时之城哦。	1	{}			{}	{}					3009055		10401	3		id_favor2_2					2	{}	1.2										{}											{}															{}			modle/bust/sounds/DP_03_Kurumi58.mp3	1												{}	{}					{}	{}		{}		
3009055	3009	7	{}		100	时崎狂三	我的天使拥有强大的力量，但也会消耗庞大时间，所以——时不时就得从外界补充呢。	1	{}			{}	{}					3009056		1			id_favor3_1						{}											{}											{}															{}			modle/bust/sounds/DP_03_Kurumi59.mp3	1												{}	{}					{}	{}		{}		
3009056	3009	7	{}		100	1	原来……你在吞噬结界内的大家的时间吗？！太残忍了！狂三你快住手啊！	1	{}			{}	{}					3009057		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
3009057	3009	7	{}		100	时崎狂三	大家都是我可怜又可爱的食物啊~人类与精灵的关系就是这样，不过……只有你是特别的哦。	1	{}			{}	{}				1	3009060-3009058-3009059		1			id_normal_9						{}											{}											{}															{}			modle/bust/sounds/DP_03_Kurumi60.mp3	1												{}	{}					{}	{}		{}		
3009058	3009	7	{}		100		你的目的……是我吗？	1	{}			{}	{}					3009061		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
3009059	3009	7	{}		100		为什么我是特别的？	1	{}			{}	{}					3009063		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
3009060	3009	7	{}		100		放过他们，我会拯救你的！	1	{}			{}	{}					3009062		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
3009061	3009	7	{}		100	时崎狂三	是的、是的~你是最棒的，是我最想要的啊——	1	{}			{}	{}					3009063		1			id_normal_6						{}											{}											{}															{}			modle/bust/sounds/DP_03_Kurumi61.mp3	1		sound/dating_sound/FB_eff06.mp3										{}	{}					{}	{}		{}		
3009062	3009	7	{}		100	时崎狂三	拯救我？哈，不要再说这种无聊的话了。	1	{}			{}	{}					3009063		1			id_pose_5		id_look_3				{}											{}											{}															{}			modle/bust/sounds/DP_03_Kurumi62.mp3	1		sound/dating_sound/FB_eff11.mp3										{}	{}					{}	{}		{}		
3009063	3009	7	{}		100	时崎狂三	我就是为了和你融为一体，才来到这个地方啊。	1	{}			{}	{}					3009064		1			id_favor1_2						{}											{}											{}															{}			modle/bust/sounds/DP_03_Kurumi63.mp3	1												{}	{}					{}	{}		{}		
3009064	3009	7	{}		100	1	融为一体，是什么意思？	1	{}			{}	{}					3009065		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
3009065	3009	7	{}		100	时崎狂三	呼呼，意思是我会直接吃、掉、你哦~不过呢，在此之前，请你先收回早上的话。	1	{}			{}	{}				1	3009067-3009066		1			id_favor3_1						{}											{}											{}															{}			modle/bust/sounds/DP_03_Kurumi64.mp3	1												{}	{}					{}	{}		{}		
3009066	3009	7	{}		100		为什么，一直说要吃掉我呢？	1	{}			{}	{}					3009068		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
3009067	3009	7	{}		100		早上？我早上说了什么吗？	1	{}			{}	{}					3009069		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
3009068	3009	7	{}		100	时崎狂三	直接杀死你就没有意义了呢，你会在我身体里生存下去哦。呵呵……呵呵呵……很棒吧？很棒吧？？	1	{}			{}	{}					3009071		1			id_favor3_4						{}											{}											{}															{}			modle/bust/sounds/DP_03_Kurumi65.mp3	1												{}	{}					{}	{}		{}		
3009069	3009	7	{}		100	时崎狂三	当然是你会拯救我这种荒谬的发言啊。来吧，收回那句话，我就放过结界里的人哦~	1	{}			{}	{}					3009070		1			id_pose_5		id_look_3				{}											{}											{}															{}			modle/bust/sounds/DP_03_Kurumi66.mp3	1												{}	{}					{}	{}		{}		
3009070	3009	7	{}		100	1	不！那是我的决定，我不能收回前言，你、你快点解除结界！	1	{}			{}	{}					3009071		1									{}											{}											{}		0.1-7-9-5-0.024	4												{}																{}	{}					{}	{}		{}		
3009071	3009	7	{}		100		 	1	{}			{}	{}				2	3009072				3							{}											{}											{}															{}												1	1			{}	{}					{}	{}		{}		
3009072	3009	7	{}		100		 	1	{}			{}	{}					3009073											{}											{}											{}											3				{}							date_cg_66									{}	{}					{}	{}		{}		
3009073	3009	7	{}		100	时崎狂三	哼嗯~我比较讨厌不听话的人呢……啊啦~如果这个时候发生空间震会怎么样呢？大家——都会死掉哦。	1	{}			{}	{}					3009074					id_pose_11		id_look_4				{}											{}											{}															{}			modle/bust/sounds/DP_03_Kurumi67.mp3	1												{}	{}					{}	{}		{}		
3009074	3009	7	{}		100	村雨令音	紧急情报，数据显示狂三的精神状态——像是在害怕你。	1	{}			{}	{}					3009075											{}											{}											{}															{}			modle/bust/sounds/DP_03_Reine1.mp3	1		sound/dating_sound/dating_022.mp3										{}	{}					{}	{}		{}		
3009075	3009	7	{}		100		害怕我？狂三为什么会害怕我？明明是她占有绝对优势啊。	1	{}			{}	{}					3009076											{}											{}											{}															{}																{}	{}					{}	{}		{}		
3009076	3009	7	{}		100		啊……原来如此，现在只有我能和狂三谈判，只有我，能让她感到惧怕。	1	{}			{}	{}					3009077											{}											{}											{}															{}																{}	{}					{}	{}		{}		
3009077	3009	7	{}		100	1	狂三！你的目的是吃掉我吧？！	1	{}			{}	{}					3009078											{}											{}											{}															{}																{}	{}					{}	{}		{}		
3009078	3009	7	{}		100	时崎狂三	是的，没错，来吧来吧！我会温柔地和你融为一体的……	1	{}			{}	{}					3009079					id_pose_11		id_look_5				{}											{}											{}															{}			modle/bust/sounds/DP_03_Kurumi68.mp3	1												{}	{}					{}	{}		{}		
3009079	3009	7	{}		100	1	那么，我命令你停下空间震、解除结界，否则我就从屋顶跳下去！	1	{}			{}	{}				2	3009080											{}											{}											{}															{}																{}	{}					{}	{}		{}		
3009080	3009	7	{}		100		 	1	{}			{}	{}					3009081											{}											{}											{}											3				{}				1			date_cg_67					1	1			{}	{}					{}	{}		{}		
3009081	3009	7	{}		100	时崎狂三	哈啊？你在胡说些什么啊！？	1	{}			{}	{}					3009082					id_normal_2		0				{}											{}											{}															{}			modle/bust/sounds/DP_03_Kurumi69.mp3													{}	{}					{}	{}		{}		
3009082	3009	7	{}		100	1	我是认真的！如果我死了，吃掉我的目的就不能达成了吧？！	1	{}			{}	{}					3009083											{}											{}											{}															{}																{}	{}					{}	{}		{}		
3009083	3009	7	{}		100		 	1	{}			{}	{}					3009084											{}											{}											{}											-1		1.3		{}												1	1			{}	{}					{}	{}		{}		
3009084	3009	7	{}		100		我闭上双眼向后倒下，身体以极快速度下坠。	1	{}			{}	{}				2	3009085											{}											{}											{}															{}																{}	{}					{}	{}		{}		
3009085	3009	7	{}		100		 	1	{}			{}	{}					3009086											{}											{}											{}											3				{}							date_cg_68					1	1			{}	{}					{}	{}		{}		
3009086	3009	7	{}		100		再次睁开眼睛的时候，我又回到了天台。果然，狂三不会让我死。	1	{}			{}	{}					3009087											{}											{}											{}															{}																{}	{}					{}	{}		{}		
3009087	3009	7	{}		100	时崎狂三	你把性命当做什么了！？	1	{}			{}	{}				1	3009088-3009090-3009092					id_normal_2		0				{}											{}											{}															{}			modle/bust/sounds/DP_03_Kurumi70.mp3	1												{}	{}					{}	{}		{}		
3009088	3009	7	{}		100		你既然说要吃掉我，那么就不会让我死！	1	{}			{}	{}					3009094											{}											{}											{}															{}																{}	{}					{}	{}		{}		
3009089	3009	7	{}		100		 	1	{}			{}	{}					3009090											{}											{}											{}											-1				{}												1	1			{}	{}					{}	{}		{}		
3009090	3009	7	{}		100		我觉得……你是最没资格说这种话的！	1	{}			{}	{}					3009096											{}											{}											{}															{}																{}	{}					{}	{}		{}		
3009091	3009	7	{}		100		 	1	{}			{}	{}					3009092											{}											{}											{}											-1				{}												1	1			{}	{}					{}	{}		{}		
3009092	3009	7	{}		100		我知道啊，狂三是舍不得我的，不是吗？	1	{}			{}	{}					3009096											{}											{}											{}															{}																{}	{}					{}	{}		{}		
3009093	3009	7	{}		100		 	1	{}			{}	{}					3009094											{}											{}											{}											-1				{}												1	1			{}	{}					{}	{}		{}		
3009094	3009	7	{}		100		 	1	{}			{}	{}					3009095											{}											{}											{}										scene/bg/bg_jiejietiantai.png	1		1.3	-1	{}												1	1			{}	{}					{}	{}		{}		
3009095	3009	7	{}		100	时崎狂三	啊啊啊真是的！你是个笨蛋吗？	1	{}			{}	{}					3009097		10401	3		id_pose_8		id_look_8			2	{}	1.2										{}											{}															{}			modle/bust/sounds/DP_03_Kurumi71.mp3	1												{}	{}					{}	{}		{}		
3009096	3009	7	{}		100	时崎狂三	真是个无可救药的男人啊。	1	{}			{}	{}					3009097		1			id_normal_4						{}											{}											{}															{}			modle/bust/sounds/DP_03_Kurumi72.mp3	1		sound/dating_sound/FB_eff11.mp3										{}	{}					{}	{}		{}		
3009097	3009	7	{}		100	1	总而言之！快点停下空间震、解除结界，否则我就咬舌自尽！	1	{}			{}	{}					3009098		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
3009098	3009	7	{}		100		 	1	{}			{}	{}					3009099				3							{}											{}											{}															{}												1	1			{}	{}					{}	{}		{}		
3009099	3009	7	{}		100		伴随着狂三懊恼的咋舌声，笼罩周围的沉重雾气消散不见，阳光重新洒落在天台上。	1	{}			{}	{}					3009100											{}											{}											{}															{}	sound/bgm/date_017.mp3	70														{}	{}					{}	{}		{}		
3009100	3009	7	{}		100		 	1	{}			{}	{}					3009101											{}											{}											{}										scene/bg/bg_wuding.png	1		1.3	-1	{}												1	1			{}	{}					{}	{}		{}		
3009101	3009	7	{}		100	1	好，那么还有一个要求。	1	{}			{}	{}					3009102		10401	3							2	{}	1.2										{}											{}															{}																{}	{}					{}	{}		{}		
